provinsi,gmv_transaksi_juta,reported_turnover_spt_juta,tax_paid_final_juta,annual_order_volume,avg_ticket_size_ribu,digital_payment_ratio,logistics_tracking_ratio,customer_return_rate,bps_ecom_penetration_pct,bps_infrastructure_index,target_non_compliance
Riau,16.19,9.75,0.05,163,99.3,0.7998,0.8338,0.058,26.52,5.92,0
Jawa Timur,17.95,10.98,0.05,155,115.79,0.467,0.5999,0.0264,33.96,5.96,0
Sumatera Selatan,18.24,10.06,0.05,155,117.66,0.6475,0.75,0.0485,25.15,5.91,1
Banten,19.56,10.82,0.05,150,130.38,0.4744,0.8468,0.0463,45.95,6.45,0
Jawa Tengah,14.37,5.37,0.03,187,76.86,0.2824,0.8078,0.0448,35.29,5.65,1
DKI Jakarta,19.51,13.8,0.07,163,119.68,0.801,0.649,0.0195,63.01,7.8,0
Bali,44.45,31.6,0.16,184,241.6,0.6389,0.649,0.0436,46.02,6.55,0
Bali,61.27,32.34,0.16,167,366.88,0.3262,0.77,0.0364,47.93,6.52,0
Banten,13.12,10.38,0.05,152,86.29,0.7713,0.7364,0.0346,44.0,6.19,0
Jawa Tengah,37.02,24.43,0.12,144,257.1,0.5765,0.8258,0.0544,33.81,6.13,0
Sumatera Utara,80.81,51.97,0.26,165,489.77,0.6366,0.7463,0.0147,25.37,6.02,0
Banten,21.68,17.71,0.09,163,133.01,0.658,0.8348,0.0269,43.96,6.41,0
Jawa Timur,28.89,23.89,0.12,152,190.09,0.9537,0.4151,0.0398,35.29,5.83,0
Riau,36.01,26.67,0.13,145,248.38,0.6723,0.7173,0.0705,28.32,5.89,0
Jawa Tengah,19.32,14.88,0.07,163,118.55,0.3009,0.6568,0.0038,29.7,5.96,0
DKI Jakarta,37.91,24.7,0.12,158,239.94,0.3188,0.97,0.0439,65.06,7.57,1
Jawa Barat,22.14,18.51,0.09,166,133.35,0.8575,0.8896,0.0364,43.14,6.31,0
Jawa Timur,40.23,31.72,0.16,167,240.88,0.6117,0.9024,0.0551,33.78,6.18,1
Bali,52.63,26.53,0.13,161,326.89,0.6512,0.7238,0.0257,51.26,6.51,1
Jawa Tengah,45.09,29.86,0.15,159,283.56,0.5737,0.5461,0.0359,35.23,5.8,1
Sulawesi Selatan,19.98,14.27,0.07,159,125.66,0.6043,0.8548,0.022,29.77,5.7,0
Jawa Barat,31.84,21.15,0.11,160,199.02,0.706,0.6884,0.0317,43.52,5.94,0
Sulawesi Selatan,18.91,15.21,0.08,162,116.73,0.6509,0.7416,0.0526,26.89,6.09,0
Bali,13.47,11.25,0.06,156,86.32,0.635,0.7514,0.0481,48.84,6.75,0
DKI Jakarta,22.08,14.77,0.07,168,131.41,0.7132,0.5758,0.0346,64.36,7.64,1
Sumatera Utara,34.64,20.5,0.1,155,223.49,0.3935,0.3849,0.0579,27.6,5.96,1
Riau,18.46,13.92,0.07,144,128.21,0.341,0.8553,0.0886,24.86,5.88,0
Banten,48.67,42.82,0.21,154,316.05,0.5103,0.8768,0.0241,44.86,6.24,0
Sulawesi Selatan,23.0,14.43,0.07,151,152.31,0.4161,0.8693,0.0505,28.19,6.17,1
Jawa Barat,14.41,12.1,0.06,162,88.94,0.4007,0.6855,0.041,44.77,6.19,0
Sumatera Utara,23.31,15.47,0.08,182,128.09,0.6535,0.8912,0.0617,30.69,5.82,0
Sumatera Utara,15.3,12.02,0.06,142,107.78,0.6081,0.6321,0.029,29.69,6.11,0
Riau,43.35,26.34,0.13,148,292.87,0.3667,0.7685,0.0601,24.42,6.35,0
Jawa Tengah,30.89,22.92,0.11,163,189.54,0.6879,0.8442,0.0379,33.18,5.81,0
Banten,22.73,12.6,0.06,160,142.09,0.6824,0.6897,0.0354,44.7,6.3,1
Jawa Barat,32.25,32.25,0.16,150,214.98,0.7294,0.686,0.0432,44.59,6.22,1
Jawa Barat,15.82,11.7,0.06,156,101.43,0.6349,0.4943,0.0432,44.67,6.27,0
Sumatera Utara,12.89,9.73,0.05,149,86.48,0.6682,0.8421,0.022,28.32,6.14,0
Sumatera Selatan,13.48,11.72,0.06,164,82.18,0.8717,0.7514,0.0407,23.58,5.84,0
Riau,10.3,6.61,0.03,157,65.57,0.6567,0.8386,0.0668,27.66,6.02,1
Sulawesi Selatan,14.91,11.55,0.06,167,89.29,0.6169,0.7617,0.0167,28.47,5.8,0
DKI Jakarta,32.26,21.17,0.11,165,195.5,0.8018,0.5026,0.0494,63.96,7.58,0
Banten,29.87,24.77,0.12,140,213.34,0.6362,0.7,0.0604,43.06,6.42,1
DKI Jakarta,16.81,14.41,0.07,173,97.18,0.7886,0.8068,0.0394,66.69,7.67,0
Jawa Timur,9.46,8.37,0.04,154,61.4,0.7689,0.7297,0.0353,37.22,5.99,0
Sumatera Selatan,19.97,11.9,0.06,166,120.31,0.5286,0.5633,0.0402,24.19,5.85,1
Sumatera Utara,28.54,23.57,0.12,151,188.99,0.6745,0.7667,0.0214,28.78,6.05,0
Jawa Tengah,37.41,23.53,0.12,166,225.37,0.4458,0.7549,0.0359,33.0,5.86,1
DKI Jakarta,28.98,14.03,0.07,175,165.61,0.4083,0.8965,0.0741,61.61,7.82,0
Jawa Barat,15.45,14.03,0.07,169,91.43,0.7181,0.865,0.0375,43.83,6.25,0
Banten,33.45,27.18,0.14,157,213.08,0.6298,0.731,0.0403,41.94,6.38,0
Sulawesi Selatan,30.6,16.93,0.08,171,178.97,0.5173,0.5598,0.0213,28.05,5.99,1
Jawa Timur,33.01,19.07,0.1,154,214.38,0.4766,0.7939,0.0481,34.46,5.96,1
Jawa Barat,15.39,8.21,0.04,160,96.2,0.5561,0.7336,0.0189,40.15,6.06,1
Jawa Tengah,30.07,21.31,0.11,158,190.35,0.4848,0.7145,0.0361,34.12,5.99,0
Riau,35.82,28.9,0.14,156,229.6,0.7869,0.8349,0.001,24.49,6.0,1
Jawa Tengah,14.15,9.78,0.05,179,79.03,0.6848,0.6028,0.0405,33.85,5.84,0
Bali,17.0,11.01,0.06,156,108.98,0.5432,0.7138,0.0432,48.99,6.62,0
DKI Jakarta,10.92,7.91,0.04,148,73.78,0.5804,0.6662,0.025,63.76,7.77,0
Jawa Timur,18.43,14.43,0.07,185,99.63,0.5659,0.8371,0.0293,35.91,5.99,0
Jawa Tengah,23.24,15.76,0.08,167,139.19,0.4929,0.6996,0.0263,33.0,5.84,0
Banten,11.09,8.29,0.04,146,75.98,0.5595,0.7489,0.0534,43.14,6.58,0
Jawa Timur,42.94,33.31,0.17,164,261.83,0.7109,0.6055,0.0291,38.27,5.97,0
Sumatera Utara,39.85,30.03,0.15,151,263.89,0.3627,0.5885,0.0676,27.69,6.01,0
Jawa Timur,24.18,17.6,0.09,176,137.37,0.4591,0.7029,0.0686,36.48,6.18,1
Jawa Tengah,19.03,14.62,0.07,178,106.94,0.7807,0.5646,0.0411,34.32,5.77,1
Riau,22.79,15.72,0.08,159,143.35,0.3964,0.6069,0.0708,25.22,6.29,0
Jawa Tengah,55.41,45.86,0.23,175,316.62,0.5961,0.9128,0.069,30.51,5.62,0
Bali,26.84,23.49,0.12,133,201.77,0.6779,0.6677,0.048,47.15,6.55,0
Sulawesi Selatan,11.6,7.9,0.04,175,66.28,0.7979,0.7527,0.0223,29.48,5.81,0
Jawa Tengah,8.3,5.84,0.03,147,56.43,0.6501,0.8465,0.0473,33.32,5.7,1
Jawa Tengah,14.81,13.19,0.07,155,95.56,0.7289,0.7912,0.0445,33.64,5.91,0
Sulawesi Selatan,23.95,18.5,0.09,167,143.41,0.6238,0.7276,0.0292,28.34,6.04,0
Bali,10.18,8.26,0.04,148,68.75,0.7349,0.4296,0.0802,51.42,6.53,1
Banten,24.36,14.83,0.07,184,132.38,0.8268,0.7502,0.0529,41.01,6.58,0
Sumatera Utara,10.69,8.64,0.04,154,69.44,0.734,0.8361,0.0162,28.22,6.18,0
Jawa Tengah,26.48,15.31,0.08,180,147.1,0.5744,0.4423,0.0482,33.25,5.85,1
Riau,25.5,19.71,0.1,156,163.45,0.7375,0.5341,0.0411,26.12,5.85,0
Sulawesi Selatan,62.04,41.74,0.21,171,362.82,0.4602,0.8618,0.0489,29.1,6.13,0
Banten,20.86,16.47,0.08,152,137.25,0.872,0.6659,0.0367,45.36,6.32,0
Banten,18.6,14.24,0.07,151,123.19,0.6002,0.7601,0.0149,43.8,6.42,0
Sumatera Utara,45.8,38.71,0.19,155,295.47,0.7181,0.6772,0.0613,25.88,6.14,0
Bali,29.29,25.11,0.13,143,204.81,0.7487,0.7673,0.076,52.5,6.55,0
Sumatera Utara,22.15,15.15,0.08,148,149.66,0.7707,0.6798,0.0318,28.4,6.19,0
Banten,18.56,14.39,0.07,147,126.24,0.7547,0.7656,0.0373,44.25,6.33,0
Banten,59.75,42.55,0.21,165,362.15,0.6428,0.7568,0.0626,46.01,6.44,0
DKI Jakarta,16.32,11.55,0.06,158,103.31,0.452,0.6803,0.0306,62.95,7.82,1
Bali,12.39,3.56,0.02,165,75.08,0.5355,1.0,0.0572,50.68,6.71,1
Jawa Timur,24.0,20.02,0.1,180,133.31,0.704,0.5669,0.0387,36.39,6.17,0
Bali,20.46,15.43,0.08,163,125.51,0.8684,0.7155,0.0239,51.48,6.5,0
Jawa Timur,42.15,21.66,0.11,153,275.46,0.5417,0.5552,0.0284,37.53,5.82,1
Jawa Tengah,25.82,21.95,0.11,163,158.41,0.7001,0.707,0.0392,32.19,5.82,0
Bali,38.84,30.89,0.15,165,235.42,0.5561,0.7398,0.0407,52.01,6.97,0
Jawa Barat,8.8,4.09,0.02,172,51.15,0.627,0.8122,0.0171,44.28,6.31,0
Sumatera Selatan,21.15,13.47,0.07,170,124.43,0.6855,0.6509,0.0439,23.41,5.81,0
Bali,48.89,34.09,0.17,153,319.55,0.5294,0.5244,0.001,46.63,6.56,0
Jawa Tengah,15.33,9.73,0.05,173,88.6,0.5293,0.9255,0.0535,34.25,5.86,1
Jawa Tengah,19.93,17.31,0.09,156,127.77,0.9118,0.6987,0.0555,35.28,5.89,0
Jawa Timur,37.75,33.42,0.17,167,226.03,0.7846,0.8419,0.0247,37.43,6.04,0
Bali,18.13,9.0,0.05,158,114.76,0.7373,0.5366,0.0411,49.24,6.68,1
Jawa Timur,36.19,26.77,0.13,165,219.31,0.5895,0.7909,0.0312,39.19,6.1,0
Jawa Barat,18.74,14.85,0.07,171,109.57,0.4793,0.8355,0.032,44.28,6.39,1
Banten,24.45,13.63,0.07,170,143.82,0.8125,0.689,0.0349,43.13,6.36,1
DKI Jakarta,34.32,29.0,0.14,166,206.75,0.7671,0.9147,0.0372,62.62,7.7,0
Sumatera Utara,14.98,8.76,0.04,170,88.12,0.5358,0.7629,0.0296,29.24,6.0,0
Jawa Barat,14.73,9.65,0.05,148,99.56,0.6139,0.686,0.0451,44.13,6.12,0
Jawa Tengah,40.0,23.35,0.12,170,235.3,0.5472,0.6286,0.0702,34.83,5.9,1
DKI Jakarta,16.52,15.7,0.08,164,100.74,0.6702,0.605,0.0493,64.09,7.81,0
DKI Jakarta,26.22,20.89,0.1,168,156.08,0.5557,0.5396,0.0362,64.56,7.94,0
Sumatera Selatan,35.23,21.32,0.11,145,242.96,0.6122,0.6446,0.0645,24.84,5.79,1
Sulawesi Selatan,25.77,17.53,0.09,168,153.42,0.4963,0.7618,0.063,29.35,6.05,0
Jawa Timur,30.09,15.48,0.08,179,168.12,0.3024,0.7984,0.0576,37.97,5.86,1
DKI Jakarta,56.92,49.23,0.25,171,332.88,0.6908,0.6346,0.0483,63.15,7.78,0
Sulawesi Selatan,87.92,63.52,0.32,173,508.19,0.5704,0.6481,0.0486,27.62,6.33,0
Banten,21.96,15.89,0.08,140,156.85,0.3654,0.6837,0.0533,44.61,6.36,0
Jawa Timur,19.31,11.63,0.06,162,119.21,0.4958,0.6923,0.0635,37.02,6.25,1
Sumatera Selatan,33.35,27.21,0.14,148,225.33,0.3955,0.68,0.0263,26.29,5.78,0
Sumatera Selatan,15.79,10.79,0.05,156,101.24,0.6117,0.8078,0.0372,24.64,5.82,0
Sumatera Selatan,44.12,25.63,0.13,151,292.15,0.4059,0.7324,0.0582,22.18,5.84,1
Riau,18.45,10.68,0.05,164,112.5,0.4302,0.6287,0.0422,24.38,6.09,1
DKI Jakarta,20.39,16.46,0.08,171,119.25,0.8189,0.8338,0.0419,63.18,7.71,0
Jawa Timur,14.23,14.23,0.07,157,90.65,0.7354,0.8199,0.0575,37.93,6.05,0
Riau,17.44,12.46,0.06,178,98.0,0.4933,0.6152,0.0212,25.06,5.74,1
Bali,44.29,28.81,0.14,163,271.71,0.5364,0.7515,0.059,49.72,6.48,0
Riau,30.49,25.09,0.13,175,174.23,0.6376,0.7259,0.0218,25.0,6.3,0
Jawa Timur,20.13,17.15,0.09,141,142.73,0.6829,0.7927,0.0327,37.09,5.79,0
Bali,67.44,54.38,0.27,153,440.8,0.7367,0.8411,0.0087,49.36,6.56,0
Sumatera Utara,24.25,13.8,0.07,156,155.45,0.5548,0.7052,0.0308,26.7,6.11,0
Jawa Barat,23.09,18.02,0.09,159,145.23,0.5456,0.7673,0.0514,43.97,6.14,0
Jawa Timur,14.41,10.66,0.05,165,87.32,0.6697,0.8685,0.0438,39.27,5.86,0
Bali,13.27,5.43,0.03,133,99.78,0.2558,0.8797,0.0351,48.44,6.65,1
Banten,15.37,11.69,0.06,163,94.31,0.713,0.8049,0.0488,44.23,6.48,0
Sumatera Utara,15.83,12.42,0.06,150,105.53,0.6586,0.8155,0.049,28.79,5.97,0
DKI Jakarta,17.98,9.48,0.05,154,116.77,0.4739,0.8123,0.0186,63.68,7.78,1
Riau,18.35,10.35,0.05,144,127.4,0.2843,0.876,0.0619,26.19,6.17,1
Jawa Timur,34.21,26.6,0.13,163,209.88,0.8202,0.8781,0.0516,36.77,6.09,0
DKI Jakarta,23.3,18.96,0.09,161,144.69,0.4767,0.86,0.0111,61.19,7.77,0
Sulawesi Selatan,65.79,45.56,0.23,173,380.28,0.7278,0.6961,0.0724,28.58,6.22,0
Banten,33.19,24.87,0.12,164,202.36,0.4153,0.7994,0.0344,42.51,6.39,0
Bali,17.04,13.02,0.07,163,104.53,0.55,0.5699,0.0188,49.3,6.48,0
Sumatera Selatan,28.95,22.15,0.11,157,184.38,0.3043,0.7732,0.0145,25.37,5.85,1
Bali,27.66,16.41,0.08,175,158.05,0.6088,0.5312,0.0087,49.35,6.75,1
Banten,45.57,24.64,0.12,149,305.87,0.5972,0.6559,0.0304,42.79,6.27,1
Sumatera Selatan,30.9,26.97,0.13,138,223.89,0.8119,0.6334,0.0251,24.79,5.61,0
Sulawesi Selatan,26.22,15.02,0.08,173,151.55,0.7785,0.7939,0.0176,27.58,6.07,0
Riau,52.07,44.1,0.22,140,371.94,0.7081,0.7717,0.0337,25.27,6.02,0
Riau,28.43,24.18,0.12,146,194.76,0.5635,0.6325,0.0705,29.25,6.34,0
Bali,29.69,21.11,0.11,149,199.29,0.5494,0.822,0.026,47.39,6.63,1
Jawa Timur,51.91,36.0,0.18,160,324.43,0.7948,0.823,0.0334,37.59,6.11,1
Sumatera Utara,36.05,26.82,0.13,158,228.18,0.7571,0.7738,0.0514,30.7,5.98,0
Sumatera Selatan,29.23,22.26,0.11,179,163.32,0.692,0.6493,0.0761,24.89,5.95,0
Sulawesi Selatan,23.96,16.44,0.08,170,140.96,0.3115,0.5431,0.0437,26.98,6.05,1
Sumatera Selatan,8.63,5.14,0.03,141,61.18,0.7983,0.7655,0.0491,23.49,6.05,1
Banten,9.45,7.22,0.04,145,65.15,0.422,0.7755,0.0569,42.02,6.4,0
Sumatera Selatan,23.36,15.18,0.08,169,138.25,0.6172,0.5959,0.0497,24.46,5.82,1
Sumatera Utara,18.61,10.56,0.05,166,112.08,0.7392,0.6825,0.0068,28.61,6.16,1
Banten,23.96,18.67,0.09,162,147.89,0.6007,0.8439,0.0247,43.74,6.29,1
Banten,43.02,32.75,0.16,173,248.68,0.5397,0.7664,0.0541,46.26,6.28,0
Sumatera Selatan,16.94,10.13,0.05,167,101.43,0.6733,0.7161,0.0293,24.26,5.87,0
DKI Jakarta,11.48,8.67,0.04,159,72.19,0.7927,0.7566,0.014,61.21,7.69,0
Sulawesi Selatan,12.84,10.48,0.05,159,80.73,0.4264,0.8669,0.0346,30.17,6.01,0
Jawa Barat,16.62,13.37,0.07,180,92.32,0.7358,0.7602,0.051,41.66,6.07,0
Riau,14.07,12.75,0.06,163,86.31,0.813,0.6961,0.0502,26.97,6.2,0
Sulawesi Selatan,26.65,21.5,0.11,178,149.7,0.5936,0.6524,0.0409,28.92,6.14,0
Jawa Tengah,49.97,32.1,0.16,151,330.94,0.7938,0.5465,0.0031,33.14,5.96,0
Sumatera Utara,34.12,34.12,0.17,170,200.72,0.6705,0.7715,0.0441,29.87,6.13,0
Sumatera Utara,37.56,23.67,0.12,180,208.69,0.6911,0.5913,0.0141,28.59,5.82,0
DKI Jakarta,24.54,14.42,0.07,150,163.58,0.432,0.6126,0.0511,63.06,7.74,0
Riau,13.66,11.77,0.06,165,82.79,0.6856,0.748,0.0474,23.09,6.17,0
Sulawesi Selatan,82.01,68.66,0.34,167,491.1,0.6615,0.7328,0.0291,25.37,6.17,0
Bali,19.94,12.71,0.06,159,125.41,0.6694,0.7553,0.0131,52.93,6.58,1
Sulawesi Selatan,39.34,27.48,0.14,180,218.56,0.3814,0.5798,0.0627,29.07,6.17,1
Banten,10.15,6.4,0.03,179,56.73,0.6472,0.8632,0.0459,46.07,6.42,0
Sumatera Selatan,22.85,14.45,0.07,163,140.19,0.6197,0.6071,0.0213,28.16,5.57,0
Jawa Tengah,23.29,16.6,0.08,173,134.6,0.7112,0.6837,0.0695,32.73,5.85,0
Jawa Tengah,20.56,18.98,0.09,160,128.52,0.6643,0.6949,0.0409,33.06,5.76,0
Sulawesi Selatan,11.53,8.63,0.04,149,77.41,0.7024,0.7537,0.0271,25.5,5.94,0
Jawa Tengah,25.25,8.04,0.04,156,161.87,0.4713,0.7201,0.0612,32.84,5.99,1
Sumatera Selatan,47.2,34.72,0.17,170,277.63,0.7442,0.7228,0.056,23.92,5.92,1
Bali,69.81,39.12,0.2,154,453.33,0.7168,0.4432,0.0518,48.23,6.54,1
Riau,55.58,35.13,0.18,158,351.79,0.5891,0.7783,0.045,27.8,5.99,1
DKI Jakarta,42.68,25.61,0.13,150,284.5,0.7887,0.7385,0.0176,64.69,7.78,0
Sulawesi Selatan,61.11,47.3,0.24,168,363.77,0.6738,0.6052,0.0187,29.35,5.99,0
Jawa Tengah,62.93,38.19,0.19,162,388.44,0.6427,0.6343,0.032,31.44,5.94,0
Sulawesi Selatan,15.26,8.18,0.04,161,94.81,0.456,0.7279,0.001,28.02,5.91,0
Jawa Barat,29.1,21.55,0.11,175,166.31,0.702,0.7699,0.0457,43.97,6.1,0
Jawa Timur,12.88,7.97,0.04,158,81.49,0.4255,0.607,0.0384,39.73,5.83,1
Sumatera Selatan,32.21,29.14,0.15,167,192.87,0.4783,0.6699,0.041,24.57,5.81,0
DKI Jakarta,17.79,11.74,0.06,137,129.83,0.4062,0.8417,0.0713,63.37,7.99,0
Jawa Timur,22.26,8.96,0.04,164,135.75,0.4931,0.6762,0.0171,38.55,5.87,1
Sulawesi Selatan,20.5,9.7,0.05,160,128.11,0.5523,0.7676,0.0427,27.59,5.95,1
Sulawesi Selatan,7.72,5.96,0.03,148,52.18,0.6753,0.8177,0.0172,28.68,5.91,0
Sumatera Utara,10.76,7.29,0.04,169,63.65,0.5275,0.7213,0.0655,29.14,6.02,1
