provinsi,gmv_transaksi_juta,volume_transaksi_tahunan,proporsi_e_commerce_pct,infrastruktur_digital_score,rasio_pembayaran_digital,frekuensi_pengiriman_logistik,omset_dilaporkan_spt_juta,pajak_disetor_juta,target_compliance_risk
Jawa Tengah,323.2,143,35.21,90.96,0.697,114,143.63,0.72,1
DKI Jakarta,23.56,124,46.58,73.59,0.644,121,9.7,0.05,1
Sumatera Utara,309.11,145,25.63,84.75,0.911,122,314.55,1.57,0
Bali,134.69,150,36.08,84.43,0.641,155,115.78,0.58,0
DKI Jakarta,335.58,134,35.73,93.41,0.695,140,289.02,1.45,0
Bali,151.82,155,40.21,87.3,0.624,154,97.23,0.49,0
Bali,11.24,125,22.43,90.41,0.403,125,8.16,0.04,1
Jawa Tengah,67.74,128,42.63,65.72,0.663,135,51.68,0.26,0
Riau,44.76,138,12.85,97.68,0.833,114,40.22,0.2,0
Jawa Barat,217.4,115,26.99,82.42,0.656,116,158.94,0.79,0
Sumatera Selatan,175.87,157,16.25,87.91,0.538,131,105.41,0.53,1
Sumatera Selatan,64.92,130,44.94,92.09,0.827,105,48.44,0.24,0
Jawa Timur,91.09,146,39.8,56.07,0.644,144,76.77,0.38,0
DKI Jakarta,47.45,139,40.47,66.48,0.964,122,20.77,0.1,0
Sulawesi Selatan,44.01,125,52.68,90.96,0.851,101,31.16,0.16,0
Banten,26.34,122,31.21,95.18,0.829,99,16.43,0.08,0
Bali,122.21,145,42.32,87.05,0.746,158,120.07,0.6,0
Riau,57.54,123,35.79,73.63,0.469,106,37.54,0.19,1
Sumatera Selatan,102.08,132,33.97,62.3,0.916,121,82.56,0.41,0
Sumatera Selatan,138.33,129,50.68,75.73,0.578,113,96.28,0.48,1
Jawa Barat,143.84,140,59.98,69.47,0.516,151,133.57,0.67,0
Jawa Timur,46.05,147,29.82,93.4,0.768,120,46.25,0.23,0
Banten,64.23,124,45.0,77.8,0.822,119,29.18,0.15,1
Banten,12.15,143,38.83,69.21,0.45,134,5.01,0.03,1
DKI Jakarta,90.73,131,38.97,74.43,0.901,131,77.85,0.39,0
Sumatera Utara,218.49,138,37.97,95.74,0.8,147,177.08,0.89,0
Jawa Barat,15.56,127,31.0,80.05,0.736,101,11.83,0.06,0
Sumatera Selatan,282.92,135,5.0,61.22,0.658,108,192.39,0.96,0
Riau,351.07,123,53.42,74.5,0.684,112,311.53,1.56,0
Sulawesi Selatan,135.58,126,26.66,72.82,0.524,115,116.24,0.58,0
Sumatera Selatan,283.55,131,32.1,65.21,0.611,139,190.21,0.95,0
Jawa Timur,102.83,134,32.36,86.08,0.706,118,62.85,0.31,0
Sulawesi Selatan,59.41,122,25.59,63.15,0.521,128,60.91,0.3,0
Banten,19.51,119,37.88,74.13,0.546,98,12.95,0.06,0
Jawa Timur,17.63,138,34.47,71.61,0.646,113,9.45,0.05,0
Sulawesi Selatan,285.14,138,26.4,72.88,0.675,141,292.01,1.46,0
Jawa Timur,424.77,127,36.79,77.77,0.901,130,364.9,1.82,0
DKI Jakarta,128.72,139,34.6,83.48,0.692,115,98.21,0.49,0
Banten,344.72,126,46.13,57.01,0.478,138,309.92,1.55,1
Sumatera Selatan,163.84,124,18.92,64.13,0.932,102,89.17,0.45,0
Jawa Barat,261.75,135,25.34,87.87,0.846,143,199.64,1.0,0
Banten,151.74,124,43.7,94.48,0.715,106,87.68,0.44,0
Jawa Barat,145.4,125,27.32,52.19,0.589,100,139.72,0.7,0
Riau,73.96,139,24.16,53.59,0.785,146,36.16,0.18,0
Banten,151.19,144,27.92,95.76,0.722,123,81.85,0.41,0
Jawa Timur,55.09,131,33.79,57.25,0.652,125,30.76,0.15,1
Jawa Tengah,18.61,142,33.83,97.99,0.572,148,12.74,0.06,1
Sumatera Utara,125.12,123,32.48,90.58,0.923,104,60.87,0.3,0
Riau,24.79,140,22.66,55.91,0.393,143,18.69,0.09,0
Sulawesi Selatan,95.26,103,44.28,55.02,0.412,98,83.48,0.42,0
Banten,13.31,132,50.91,97.89,0.586,115,5.39,0.03,1
Jawa Barat,153.12,131,12.07,62.49,0.677,106,149.55,0.75,0
Bali,66.77,121,16.36,76.39,0.703,106,63.69,0.32,0
Riau,29.9,138,47.03,61.58,0.657,127,12.95,0.06,0
Sumatera Selatan,90.24,105,53.84,79.43,0.563,95,40.11,0.2,1
DKI Jakarta,85.53,113,9.45,91.16,0.62,114,66.12,0.33,1
Jawa Timur,231.23,117,44.79,82.19,0.725,107,139.62,0.7,1
Sumatera Selatan,388.29,156,54.65,52.28,0.513,142,279.1,1.4,1
Bali,221.29,139,24.65,79.16,0.83,145,170.14,0.85,0
Banten,29.12,127,53.96,82.39,0.867,119,23.72,0.12,0
Bali,50.19,122,32.86,59.84,0.686,133,43.95,0.22,0
Bali,960.91,137,38.78,87.34,0.763,133,919.67,4.6,1
Jawa Timur,88.29,150,26.37,80.72,0.416,162,70.13,0.35,0
Bali,86.37,119,47.01,50.47,0.501,126,40.45,0.2,1
Jawa Tengah,262.46,137,45.01,96.58,0.766,126,128.22,0.64,0
Jawa Tengah,253.59,126,55.7,71.83,0.759,123,202.6,1.01,0
Riau,31.01,136,52.29,61.39,0.887,114,26.69,0.13,0
Riau,145.29,121,34.89,54.22,0.902,115,129.33,0.65,0
Jawa Barat,28.67,144,72.3,68.35,0.388,133,21.13,0.11,0
Bali,282.65,118,51.21,65.08,0.701,111,223.36,1.12,0
Jawa Barat,21.78,146,41.49,64.6,0.541,124,22.51,0.11,1
Bali,125.1,130,23.03,88.87,0.265,137,78.36,0.39,1
DKI Jakarta,321.95,129,16.64,81.65,0.766,106,173.6,0.87,0
Sumatera Selatan,97.41,134,17.66,56.52,0.662,138,100.32,0.5,0
Sumatera Selatan,196.43,121,23.8,84.7,0.916,131,195.88,0.98,0
Sumatera Selatan,143.04,130,51.53,85.45,0.989,108,57.88,0.29,0
Riau,310.02,138,40.85,75.2,0.835,128,204.99,1.02,0
Banten,468.93,134,27.64,98.79,0.741,130,411.56,2.06,0
Sumatera Selatan,199.6,120,33.37,63.89,0.513,131,102.86,0.51,1
Jawa Tengah,398.63,126,31.91,52.86,0.927,133,167.72,0.84,0
Sumatera Selatan,74.92,123,44.6,51.41,0.621,113,31.74,0.16,1
Sumatera Utara,128.35,136,24.45,65.71,0.519,148,98.46,0.49,0
Banten,99.57,128,39.2,74.4,0.927,115,54.73,0.27,0
Sumatera Utara,411.14,132,38.6,53.83,0.883,119,233.37,1.17,0
Sumatera Utara,265.09,129,24.81,77.72,0.802,122,108.65,0.54,1
DKI Jakarta,66.23,149,54.06,94.14,0.784,154,57.74,0.29,0
Jawa Barat,80.34,136,31.45,89.05,0.823,116,76.19,0.38,0
Jawa Tengah,483.08,138,23.09,82.95,0.562,141,423.56,2.12,0
Jawa Barat,51.36,124,45.23,82.42,0.698,99,25.1,0.13,1
Banten,86.43,154,35.65,85.78,0.551,135,88.35,0.44,0
Riau,78.46,124,39.9,74.22,0.957,135,80.46,0.4,0
Riau,14.05,139,20.78,69.69,0.837,138,7.98,0.04,0
Banten,143.88,143,44.75,65.03,0.637,134,149.49,0.75,0
Bali,90.77,145,61.07,54.88,0.833,147,62.51,0.31,0
Sumatera Utara,29.79,119,19.85,77.55,0.898,110,12.72,0.06,1
DKI Jakarta,12.63,149,39.25,73.15,0.628,123,9.78,0.05,0
Sumatera Selatan,92.7,130,25.58,55.83,0.722,123,68.82,0.34,0
Sumatera Utara,267.71,148,67.28,63.15,0.83,160,256.44,1.28,0
Riau,241.51,156,49.88,88.57,0.707,137,152.44,0.76,0
Sumatera Utara,50.78,145,38.39,62.52,0.888,118,45.62,0.23,0
Sumatera Utara,64.16,155,20.27,70.86,0.657,158,58.48,0.29,0
DKI Jakarta,109.68,146,23.17,57.9,0.963,136,46.36,0.23,0
Sumatera Utara,24.34,127,43.96,58.32,0.741,114,20.39,0.1,0
Sumatera Selatan,163.12,131,18.65,87.06,0.953,123,116.09,0.58,0
Jawa Timur,54.66,157,19.03,53.27,0.929,169,29.05,0.15,0
Riau,329.4,148,35.11,63.97,0.986,129,221.02,1.11,0
DKI Jakarta,166.62,139,36.6,98.06,0.812,119,159.49,0.8,0
Jawa Timur,66.08,143,39.56,73.32,0.827,137,56.06,0.28,0
Banten,258.58,139,29.73,79.7,0.952,130,208.85,1.04,0
Sulawesi Selatan,353.0,127,46.04,81.4,0.34,107,159.9,0.8,1
Jawa Tengah,127.65,123,24.66,59.61,0.679,119,106.38,0.53,0
Jawa Tengah,58.19,139,42.52,68.1,0.657,135,51.97,0.26,0
Banten,508.04,136,37.57,69.63,0.795,133,516.92,2.58,0
Sulawesi Selatan,313.34,129,42.21,61.3,0.615,119,287.88,1.44,0
Bali,375.94,132,49.18,61.47,0.76,117,169.91,0.85,1
DKI Jakarta,177.61,135,29.54,79.79,0.42,121,179.97,0.9,0
Jawa Tengah,166.68,128,27.07,55.32,0.38,134,152.47,0.76,0
Bali,188.6,126,14.74,56.33,0.898,124,75.85,0.38,0
DKI Jakarta,37.03,146,10.77,78.09,0.776,134,31.97,0.16,0
Bali,150.62,132,32.89,72.02,0.563,129,90.01,0.45,1
Jawa Tengah,38.59,144,33.71,79.98,0.885,130,30.61,0.15,0
Sulawesi Selatan,54.63,129,21.97,51.32,0.888,136,31.89,0.16,0
Jawa Tengah,69.3,131,24.55,84.54,0.669,133,60.6,0.3,1
Banten,227.06,122,53.28,91.64,0.8,101,118.39,0.59,1
Riau,117.91,138,45.51,75.68,0.406,112,111.12,0.56,0
Jawa Barat,117.76,140,19.86,91.2,0.803,113,52.68,0.26,0
Sumatera Utara,171.53,135,29.69,69.58,0.677,109,71.3,0.36,1
Sumatera Utara,117.05,125,39.87,53.87,0.866,118,56.86,0.28,0
Sumatera Selatan,199.06,147,27.48,68.5,0.586,125,129.38,0.65,1
Sulawesi Selatan,21.56,123,25.3,71.87,0.593,123,17.83,0.09,0
Riau,86.36,119,30.94,92.41,0.526,112,61.52,0.31,0
Banten,121.89,129,48.09,66.4,0.812,106,86.44,0.43,0
Banten,27.5,133,49.18,65.44,0.623,106,26.48,0.13,0
Banten,102.18,132,26.17,93.51,0.612,107,78.02,0.39,0
Bali,104.01,136,40.53,62.3,0.543,130,75.92,0.38,0
Jawa Timur,194.39,134,34.92,81.48,0.918,130,130.75,0.65,0
Jawa Barat,69.08,120,22.9,66.01,0.668,108,71.56,0.36,0
Jawa Timur,174.61,115,31.44,96.62,0.78,94,97.4,0.49,1
DKI Jakarta,215.08,111,19.83,59.29,0.573,119,107.78,0.54,1
Jawa Barat,186.95,146,48.96,85.47,0.729,134,134.61,0.67,0
DKI Jakarta,58.04,133,53.63,76.95,0.569,123,48.79,0.24,0
Sumatera Selatan,205.89,153,30.07,97.96,0.825,139,85.26,0.43,1
Sumatera Selatan,190.21,120,27.21,98.71,0.816,98,182.04,0.91,0
Riau,68.5,139,47.66,88.89,0.601,140,40.01,0.2,1
Banten,49.92,144,49.59,55.07,0.743,143,40.91,0.2,0
Sumatera Selatan,66.13,135,21.63,72.98,0.509,114,33.9,0.17,1
Jawa Barat,35.98,140,33.22,91.87,0.807,123,34.79,0.17,0
Sulawesi Selatan,133.11,154,34.29,81.29,0.25,148,84.3,0.42,1
Sumatera Utara,121.26,127,25.75,93.07,0.894,115,63.24,0.32,0
Sulawesi Selatan,99.19,139,39.63,89.17,0.643,152,40.95,0.2,0
Jawa Barat,62.58,134,26.6,65.34,0.938,127,37.59,0.19,0
Banten,26.31,127,28.52,59.56,0.885,135,17.01,0.09,0
Riau,353.28,138,33.78,65.81,0.86,118,149.37,0.75,1
Banten,138.08,130,17.13,84.1,0.821,125,105.07,0.53,0
Banten,237.75,149,10.32,73.57,0.631,133,165.37,0.83,0
Jawa Barat,278.28,144,46.02,52.15,0.889,155,200.5,1.0,0
Jawa Timur,239.21,129,26.12,86.38,0.743,124,116.44,0.58,0
Jawa Tengah,93.4,126,60.62,52.19,0.57,125,60.62,0.3,1
Jawa Timur,159.82,124,58.66,70.06,0.648,102,164.47,0.82,0
Riau,16.85,127,28.92,72.65,0.815,120,10.65,0.05,0
Riau,265.71,135,63.07,74.65,0.648,131,243.24,1.22,0
Riau,366.91,122,46.25,56.82,0.805,108,176.37,0.88,0
Jawa Timur,420.63,115,27.26,86.64,0.695,117,201.83,1.01,1
Sulawesi Selatan,51.7,133,5.0,91.62,0.965,125,54.25,0.27,0
DKI Jakarta,47.37,147,43.26,84.2,0.987,142,38.91,0.19,0
Jawa Timur,112.66,122,35.38,96.6,0.694,110,93.75,0.47,0
Jawa Barat,163.53,127,40.18,62.62,0.668,127,110.68,0.55,0
Jawa Timur,147.97,134,32.25,57.88,0.989,111,132.39,0.66,0
Sulawesi Selatan,309.78,122,21.27,53.3,0.839,116,310.8,1.55,0
Jawa Timur,123.37,138,29.88,85.35,0.687,147,55.92,0.28,1
Sulawesi Selatan,119.07,129,43.48,57.94,0.602,112,60.97,0.3,1
Banten,126.44,138,30.75,95.97,0.751,146,121.76,0.61,0
Riau,95.05,133,30.67,79.32,0.405,141,42.91,0.21,1
Banten,92.44,148,16.77,89.4,0.758,128,58.56,0.29,0
Jawa Tengah,67.98,134,36.09,71.3,0.769,110,30.87,0.15,0
Sumatera Selatan,32.78,128,21.66,86.01,0.839,131,21.81,0.11,0
Sulawesi Selatan,56.01,141,46.02,71.74,0.802,153,38.68,0.19,0
Jawa Tengah,32.59,152,26.19,76.4,0.764,133,16.85,0.08,0
Sumatera Selatan,110.31,129,31.45,87.91,0.595,138,49.98,0.25,1
Jawa Tengah,558.63,143,60.97,61.67,0.435,123,375.01,1.88,1
Sumatera Selatan,142.24,145,31.32,93.34,0.842,131,104.46,0.52,0
Sumatera Selatan,128.05,151,29.71,85.1,0.402,160,112.56,0.56,0
Banten,132.81,133,42.03,86.58,0.498,118,115.8,0.58,0
Sumatera Selatan,47.27,122,13.58,61.67,0.931,125,21.06,0.11,0
Jawa Tengah,109.76,122,50.01,54.42,0.688,102,75.15,0.38,0
DKI Jakarta,44.33,135,46.93,53.57,0.765,123,42.04,0.21,0
DKI Jakarta,174.16,128,41.29,81.7,0.537,138,137.24,0.69,0
Banten,287.63,127,5.0,57.35,0.931,110,274.87,1.37,0
Sulawesi Selatan,47.15,161,31.89,98.96,0.952,162,48.0,0.24,0
Jawa Barat,419.65,135,19.73,97.09,0.887,145,259.04,1.3,1
Banten,343.07,134,48.49,51.43,0.86,138,166.88,0.83,1
Sumatera Selatan,10.27,143,47.63,85.53,0.796,155,4.67,0.02,0
Jawa Tengah,77.25,142,39.66,62.78,0.592,153,37.25,0.19,1
Sumatera Selatan,42.19,151,20.56,66.7,0.639,125,35.59,0.18,0
Jawa Timur,35.52,118,52.93,61.78,0.775,115,16.97,0.08,1
Bali,274.36,137,31.85,90.7,0.865,127,279.59,1.4,0
Sumatera Utara,198.57,135,56.66,93.79,0.543,135,164.48,0.82,0
Sumatera Utara,109.36,133,38.18,51.98,0.545,136,111.67,0.56,0
Jawa Barat,254.56,128,41.08,63.23,0.696,111,195.06,0.98,0
Banten,227.44,128,29.48,71.99,0.638,133,120.88,0.6,0
Bali,24.25,120,51.88,75.57,0.966,110,12.35,0.06,0
DKI Jakarta,22.52,112,42.3,54.29,0.764,111,20.25,0.1,0
Sumatera Selatan,223.16,108,52.31,90.67,0.679,100,89.28,0.45,1
Banten,25.31,118,37.13,95.77,0.69,106,24.52,0.12,0
Sumatera Selatan,293.12,144,34.44,69.74,0.719,145,122.87,0.61,1
Riau,165.3,121,42.14,92.0,0.555,116,131.06,0.66,0
Banten,201.75,123,52.31,83.14,0.695,129,131.69,0.66,1
Jawa Timur,89.98,134,47.2,79.0,0.9,138,71.76,0.36,0
Riau,56.77,113,36.66,90.13,0.729,119,51.57,0.26,0
Jawa Barat,71.2,154,12.71,73.18,0.859,158,33.66,0.17,1
Sumatera Utara,28.9,121,44.72,76.84,0.427,130,29.34,0.15,0
DKI Jakarta,73.99,127,17.74,63.46,0.971,107,58.25,0.29,0
Riau,186.02,139,35.42,84.9,0.539,137,120.59,0.6,0
Riau,319.99,128,33.61,57.79,0.588,105,331.64,1.66,0
DKI Jakarta,19.55,126,17.99,61.91,0.597,119,18.13,0.09,0
Sumatera Selatan,306.28,135,39.47,73.52,0.796,142,154.78,0.77,1
Banten,467.64,132,60.85,68.88,0.743,134,213.97,1.07,1
Sumatera Selatan,404.48,120,31.25,61.74,0.498,116,404.43,2.02,1
DKI Jakarta,128.58,150,44.19,59.4,0.951,151,100.31,0.5,0
Jawa Barat,305.33,123,63.27,92.18,0.865,104,214.11,1.07,0
Banten,225.23,156,45.35,78.95,0.355,168,101.41,0.51,1
Jawa Barat,124.0,129,27.26,68.49,0.889,111,93.27,0.47,1
Jawa Timur,135.06,125,37.84,91.44,0.756,106,77.86,0.39,0
Riau,36.53,127,40.77,90.43,0.699,106,19.2,0.1,0
Jawa Barat,269.7,129,52.21,55.43,0.642,139,176.43,0.88,1
Riau,21.95,131,49.57,77.8,0.689,122,9.29,0.05,0
Jawa Barat,182.7,117,5.0,64.98,0.99,112,144.08,0.72,0
Jawa Barat,590.88,137,24.73,76.5,0.79,125,474.9,2.37,0
Sumatera Utara,223.93,126,34.16,85.18,0.726,101,190.73,0.95,0
Sumatera Selatan,131.2,126,22.82,50.42,0.632,103,54.43,0.27,1
Jawa Barat,81.39,133,5.0,75.16,0.812,107,41.85,0.21,0
Jawa Tengah,293.17,146,26.29,64.29,0.838,140,264.45,1.32,0
Sulawesi Selatan,24.19,130,34.96,76.17,0.982,111,18.71,0.09,0
Sulawesi Selatan,111.39,133,28.7,55.38,0.594,122,45.21,0.23,1
Sumatera Utara,233.65,122,23.04,90.06,0.4,114,204.44,1.02,1
Banten,71.35,134,35.5,76.64,0.582,128,47.86,0.24,0
Jawa Timur,84.07,131,39.12,60.34,0.661,139,48.0,0.24,0
Riau,23.89,136,29.38,87.71,0.693,110,21.26,0.11,0
Sumatera Utara,34.27,135,51.46,51.85,0.715,128,21.74,0.11,0
Jawa Tengah,14.45,138,35.69,79.05,0.947,115,10.04,0.05,0
DKI Jakarta,74.2,116,24.54,74.59,0.901,125,71.2,0.36,0
Jawa Barat,120.35,140,21.51,51.94,0.907,150,59.85,0.3,1
Sulawesi Selatan,69.66,134,32.44,62.24,0.781,112,53.48,0.27,0
Banten,62.27,127,48.36,53.78,0.497,106,29.11,0.15,0
Banten,183.35,132,25.12,85.89,0.476,109,189.88,0.95,0
Banten,425.02,118,42.15,84.58,0.86,97,256.16,1.28,0
Sumatera Selatan,122.95,147,36.13,54.38,0.66,124,121.93,0.61,0
DKI Jakarta,128.16,121,58.92,55.35,0.612,102,81.84,0.41,0
DKI Jakarta,59.96,142,39.68,93.13,0.76,120,56.96,0.28,0
Jawa Tengah,80.1,117,26.62,59.84,0.536,98,71.85,0.36,0
Banten,71.8,119,43.84,64.88,0.414,108,39.57,0.2,1
Riau,469.69,149,44.24,83.53,0.9,130,385.38,1.93,0
Banten,196.32,128,30.24,52.98,0.867,118,108.31,0.54,0
Banten,240.26,141,21.03,96.44,0.52,150,99.07,0.5,1
Sulawesi Selatan,42.18,117,41.43,51.13,0.83,105,25.11,0.13,0
Jawa Barat,269.38,133,35.76,91.61,0.902,117,232.17,1.16,0
Sumatera Utara,97.26,129,16.8,67.68,0.469,138,50.19,0.25,0
Sumatera Utara,32.35,134,38.05,57.35,0.927,120,26.14,0.13,0
Banten,163.82,144,27.36,68.5,0.857,120,146.97,0.73,0
Bali,33.93,129,16.81,97.67,0.48,127,20.41,0.1,0
Jawa Tengah,100.61,134,30.77,75.92,0.681,118,46.92,0.23,1
Sulawesi Selatan,29.79,126,50.4,52.9,0.627,120,23.47,0.12,0
Jawa Timur,128.23,128,49.5,96.14,0.892,131,62.24,0.31,0
Sumatera Utara,43.9,135,46.36,57.03,0.629,130,17.63,0.09,1
Sumatera Utara,46.15,134,38.23,52.68,0.988,139,22.38,0.11,0
Bali,34.34,130,42.15,52.23,0.898,117,19.69,0.1,0
Banten,16.33,139,36.18,90.49,0.771,118,13.72,0.07,0
Jawa Tengah,30.1,133,21.74,57.5,0.447,122,18.54,0.09,1
DKI Jakarta,233.55,142,24.13,58.77,0.801,131,232.86,1.16,0
Jawa Timur,80.79,120,27.71,96.26,0.882,121,71.29,0.36,0
Bali,278.29,144,51.82,79.97,0.59,144,289.94,1.45,0
DKI Jakarta,410.54,139,47.92,63.99,0.99,124,341.75,1.71,0
Bali,444.18,138,22.04,78.74,0.747,148,183.85,0.92,1
Sumatera Utara,20.95,132,35.64,61.91,0.695,116,10.41,0.05,0
Jawa Barat,127.5,125,30.17,74.22,0.69,137,73.34,0.37,0
Jawa Timur,26.04,145,33.14,66.4,0.53,117,22.32,0.11,0
Sumatera Utara,328.71,115,28.57,80.51,0.653,115,269.35,1.35,0
Jawa Timur,237.75,145,51.87,87.18,0.68,142,126.81,0.63,1
Jawa Barat,77.31,134,34.77,67.08,0.747,130,66.0,0.33,0
Riau,83.74,135,37.59,57.05,0.736,139,48.69,0.24,0
Riau,131.81,137,37.69,67.43,0.917,133,109.99,0.55,0
Jawa Barat,185.8,142,22.67,87.15,0.818,139,111.86,0.56,0
Jawa Tengah,288.93,120,36.3,88.57,0.49,127,155.07,0.78,1
Jawa Tengah,27.38,126,47.75,88.49,0.693,107,19.76,0.1,0
Riau,133.55,129,52.67,97.75,0.784,123,138.56,0.69,0
Sumatera Selatan,81.88,138,21.23,90.41,0.354,139,67.16,0.34,0
Sumatera Selatan,57.93,114,16.78,97.46,0.686,101,36.41,0.18,0
Sulawesi Selatan,194.53,148,35.75,80.71,0.787,128,143.36,0.72,0
Sumatera Selatan,87.09,134,48.31,61.24,0.596,112,59.66,0.3,0
Jawa Timur,221.95,137,39.32,79.8,0.896,120,93.3,0.47,0
Jawa Barat,272.83,145,43.16,59.69,0.446,144,228.71,1.14,1
Riau,81.0,132,18.68,54.18,0.656,129,43.22,0.22,1
Sulawesi Selatan,12.55,132,28.14,64.76,0.837,112,9.37,0.05,0
Sulawesi Selatan,538.85,127,8.65,67.78,0.645,120,240.38,1.2,1
Jawa Tengah,193.4,143,33.29,84.74,0.678,123,176.71,0.88,0
Jawa Tengah,350.61,123,9.03,67.79,0.706,132,144.22,0.72,1
DKI Jakarta,24.23,130,50.99,50.15,0.942,132,14.75,0.07,0
Jawa Barat,30.9,143,53.66,94.93,0.477,121,20.06,0.1,0
Sumatera Utara,19.24,120,36.69,78.88,0.801,106,17.36,0.09,0
Sumatera Utara,46.86,134,16.85,60.33,0.404,141,48.4,0.24,0
Jawa Timur,11.32,139,39.51,62.36,0.525,134,5.94,0.03,1
Jawa Timur,324.6,153,57.31,56.08,0.841,138,159.18,0.8,1
Bali,66.66,148,40.71,94.42,0.838,144,53.6,0.27,0
Banten,249.74,133,49.22,61.28,0.562,121,135.17,0.68,0
Bali,278.0,150,29.18,96.09,0.779,161,115.58,0.58,1
Sulawesi Selatan,275.84,142,24.55,62.95,0.642,150,151.9,0.76,0
Jawa Timur,109.44,135,34.15,89.16,0.692,114,60.46,0.3,0
Jawa Tengah,538.1,125,11.88,50.51,0.714,125,408.15,2.04,1
Sulawesi Selatan,342.41,146,62.17,73.68,0.727,153,237.12,1.19,1
Riau,489.09,133,36.68,68.09,0.95,114,301.64,1.51,0
Jawa Tengah,142.82,160,45.4,66.39,0.839,169,83.97,0.42,0
Riau,316.51,134,29.46,98.62,0.405,124,181.72,0.91,1
Sumatera Utara,102.05,120,16.48,85.32,0.453,107,97.98,0.49,0
Sulawesi Selatan,208.54,116,52.11,62.53,0.76,127,145.88,0.73,0
Jawa Tengah,190.39,128,21.51,86.87,0.713,128,181.96,0.91,0
Sulawesi Selatan,21.14,129,39.19,56.35,0.436,114,22.14,0.11,0
Sulawesi Selatan,43.76,144,40.32,95.37,0.738,138,31.6,0.16,0
Jawa Barat,242.39,138,35.89,70.89,0.772,137,243.25,1.22,0
Jawa Barat,13.95,124,25.58,59.34,0.82,125,7.16,0.04,0
Sumatera Utara,229.72,103,33.2,63.37,0.587,88,138.14,0.69,1
DKI Jakarta,142.34,153,23.6,57.6,0.796,150,117.9,0.59,0
Jawa Tengah,715.61,123,44.71,95.6,0.458,129,396.96,1.98,1
Banten,15.16,156,41.86,64.99,0.411,162,11.9,0.06,0
Sulawesi Selatan,118.53,124,34.74,57.0,0.655,110,116.67,0.58,0
Sulawesi Selatan,486.57,132,28.18,89.83,0.919,144,502.56,2.51,0
Jawa Barat,11.31,134,60.29,60.45,0.675,107,8.45,0.04,0
Bali,169.73,137,19.38,54.61,0.916,141,149.17,0.75,0
DKI Jakarta,74.86,137,16.46,82.75,0.631,122,59.29,0.3,0
Sumatera Selatan,53.58,139,34.02,50.36,0.501,150,36.06,0.18,1
Bali,213.41,119,31.9,90.79,0.736,125,134.81,0.67,0
Bali,103.91,140,48.17,77.57,0.345,149,83.05,0.42,0
Jawa Tengah,137.65,147,42.75,62.09,0.401,128,85.98,0.43,1
Bali,10.03,123,35.35,73.21,0.793,127,8.89,0.04,0
Jawa Barat,127.35,123,41.0,62.86,0.717,110,61.38,0.31,1
Sumatera Utara,21.98,128,40.79,76.11,0.53,119,19.06,0.1,0
Banten,108.68,131,60.24,78.01,0.502,140,79.57,0.4,0
